Area|Estimate!!Total:!!Asia:!!South Central Asia:!!Iran|Estimate!!Total:!!Asia:!!Eastern Asia:!!Korea|Estimate!!Total:
00601|||
00602|||
00603|||
00606|||
00610|||
00611|||
00612|||
00616|||
00617|||
00622|||
00623|||
00624|||
00627|||
00631|||
00636|||
00637|||
00638|||
00641|||
00646|||
00647|||
00650|||
00652|||
00653|||
00656|||
00659|||
00660|||
00662|||
00664|||
00667|||
00669|||
00670|||
00674|||
00676|||
00677|||
00678|||
00680|||
00682|||
00683|||
00685|||
00687|||
00688|||
00690|||
00692|||
00693|||
00694|||
00698|||
00703|||
00704|||
00705|||
00707|||
00714|||
00715|||
00716|||
00717|||
00718|||
00719|||
00720|||
00723|||
00725|||
00727|||
00728|||
00729|||
00730|||
00731|||
00735|||
00736|||
00738|||
00739|||
00740|||
00741|||
00745|||
00751|||
00754|||
00757|||
00765|||
00766|||
00767|||
00769|||
00771|||
00772|||
00773|||
00775|||
00777|||
00778|||
00780|||
00782|||
00783|||
00784|||
00786|||
00791|||
00794|||
00795|||
00901|||
00906|||
00907|||
00909|||
00911|||
00912|||
00913|||
00915|||
00917|||
00918|||
00920|||
00921|||
00923|||
00924|||
00925|||
00926|||
00927|||
00934|||
00949|||
00950|||
00951|||
00952|||
00953|||
00956|||
00957|||
00959|||
00960|||
00961|||
00962|||
00965|||
00966|||
00968|||
00969|||
00971|||
00976|||
00979|||
00982|||
00983|||
00985|||
00987|||
01001|0|136|1577
01002|156|229|4680
01003|0|109|2032
01005|0|0|136
01007|0|40|811
01008|0|0|30
01009|0|0|0
01010|0|25|67
01011|0|0|44
01012|0|0|4
01013|0|0|2367
01020|0|0|2134
01022|0|0|213
01026|0|0|66
01027|7|3|1189
01028|0|3|883
01029|0|0|8
01030|0|0|643
01031|0|0|29
01032|0|0|0
01033|0|13|302
01034|0|0|112
01035|0|0|220
01036|0|0|114
01037|0|0|38
01038|0|0|182
01039|0|0|53
01040|0|12|2210
01050|0|0|57
01053|0|0|119
01054|0|12|114
01056|16|18|3195
01057|0|0|200
01060|0|61|1299
01062|0|0|530
01063|0|15|423
01066|0|0|0
01068|0|0|22
01069|0|0|437
01070|0|3|23
01071|0|0|35
01072|4|0|50
01073|0|0|346
01074|0|0|46
01075|8|27|1542
01077|0|0|286
01079|0|0|0
01080|0|0|44
01081|0|0|26
01082|17|0|379
01083|0|0|67
01084|0|0|3
01085|86|37|4152
01088|0|0|78
01089|10|12|5123
01092|0|0|240
01093|0|0|0
01094|0|0|0
01095|0|8|501
01096|4|0|89
01097|0|0|0
01098|0|0|25
01103|0|0|338
01104|6|21|2124
01105|7|0|1043
01106|124|52|2117
01107|0|0|1193
01108|14|0|4229
01109|0|2|3487
01118|0|0|1474
01119|0|2|825
01128|0|0|234
01129|8|4|340
01144|0|0|0
01151|0|0|954
01201|0|24|3061
01220|0|0|214
01222|0|0|0
01223|0|0|99
01224|0|0|0
01225|0|0|72
01226|0|0|229
01229|0|0|1
01230|0|0|474
01235|0|0|48
01236|0|0|185
01237|0|0|99
01238|0|27|343
01240|0|0|638
01242|0|0|0
01243|0|0|0
01244|0|0|19
01245|0|0|16
01247|0|39|869
01253|0|0|14
01254|0|0|50
01255|0|0|12
01256|0|0|12
01257|0|0|142
01258|0|0|1
01259|0|0|65
01260|0|0|9
01262|0|0|236
01264|0|0|1
01266|0|0|35
01267|0|28|728
01270|0|0|20
01301|0|0|799
01330|0|0|64
01331|0|0|520
01337|0|0|70
01338|0|0|5
01339|0|0|38
01340|0|0|39
01341|0|3|44
01342|0|0|56
01343|0|0|5
01344|0|0|46
01346|0|0|14
01347|0|0|32
01349|0|0|50
01350|0|0|5
01351|0|0|34
01354|0|0|70
01355|0|5|14
01360|0|0|164
01364|0|0|280
01366|0|0|29
01367|0|0|9
01368|0|0|19
01370|0|4|201
01373|0|1|271
01375|0|61|498
01376|12|6|219
01378|0|0|31
01379|0|0|17
01380|0|0|0
01420|0|19|3978
01430|0|0|100
01431|0|0|131
01432|16|0|492
01434|0|8|478
01436|0|46|89
01438|0|0|2
01440|0|88|1772
01450|0|23|841
01451|0|0|297
01452|0|0|275
01453|41|166|6858
01460|0|0|954
01462|0|24|605
01463|0|362|903
01464|0|44|674
01468|0|0|264
01469|0|10|435
01473|0|0|116
01474|0|0|110
01475|0|0|419
01501|0|11|1110
01503|32|0|230
01504|0|0|630
01505|0|0|318
01506|0|0|107
01507|0|0|431
01510|0|73|2592
01515|0|0|106
01516|0|0|308
01518|0|0|133
01519|0|0|695
01520|73|18|1277
01521|0|0|50
01522|0|0|213
01523|0|0|569
01524|0|0|293
01525|0|0|0
01527|0|5|1353
01529|0|0|138
01531|0|0|76
01532|0|138|2394
01534|0|0|304
01535|0|0|61
01536|15|73|862
01537|0|0|135
01540|0|0|743
01541|0|0|154
01542|0|0|219
01543|0|0|316
01545|66|146|9906
01550|0|25|732
01560|0|20|847
01561|0|0|0
01562|0|52|433
01564|0|0|288
01566|0|34|343
01568|0|0|605
01569|0|11|808
01570|0|0|1422
01571|0|0|851
01581|58|62|6094
01583|0|9|477
01585|0|0|40
01588|0|0|679
01590|0|6|369
01602|14|26|5133
01603|0|99|4979
01604|46|27|10574
01605|0|14|6756
01606|0|0|3221
01607|0|0|1810
01608|0|11|1389
01609|7|71|4383
01610|0|19|6411
01611|0|0|112
01612|0|0|604
01701|0|64|6845
01702|207|128|15495
01718|0|0|291
01719|57|33|1384
01720|74|250|6238
01721|0|50|4281
01730|0|65|3222
01731|0|8|211
01740|0|19|546
01741|6|0|628
01742|45|31|1998
01745|0|0|115
01746|6|11|1382
01747|0|0|150
01748|18|17|2816
01749|61|7|3756
01752|183|47|11098
01754|0|0|1121
01756|0|0|565
01757|0|39|6860
01760|178|218|7215
01770|0|8|367
01772|0|33|1878
01773|0|0|587
01775|0|20|728
01776|87|30|2334
01778|4|37|2303
01801|12|126|7668
01803|0|117|5576
01810|156|333|6150
01821|0|218|5020
01824|8|124|2942
01826|0|0|2971
01827|0|8|220
01830|28|32|3718
01832|0|33|3194
01833|0|0|269
01834|0|0|212
01835|49|35|1011
01840|0|0|3093
01841|0|0|23435
01843|9|0|9702
01844|33|101|11940
01845|26|230|3621
01850|0|95|4236
01851|59|36|12662
01852|79|40|8827
01854|62|103|6263
01860|0|0|311
01862|0|4|1059
01863|18|16|1140
01864|0|49|1272
01867|39|105|2311
01876|0|68|2685
01879|10|0|1516
01880|11|8|2567
01886|37|188|4610
01887|7|9|1872
01890|29|109|4498
01901|0|0|1538
01902|9|108|20303
01904|0|0|4210
01905|8|0|9453
01906|0|0|4293
01907|20|0|2871
01908|0|9|234
01913|0|12|1052
01915|0|96|3902
01921|0|0|504
01922|0|0|112
01923|0|41|2726
01929|0|0|88
01930|0|0|2861
01937|0|0|11
01938|0|0|817
01940|18|10|1080
01944|0|0|330
01945|10|26|1693
01949|35|0|826
01950|0|10|1350
01951|0|0|66
01952|0|0|472
01960|108|18|8737
01965|0|0|53
01966|0|4|246
01969|0|28|175
01970|0|8|6210
01982|0|75|630
01983|0|0|373
01984|0|32|232
01985|0|8|262
02019|0|15|1480
02021|0|85|3311
02025|0|0|162
02026|30|7|3500
02030|42|40|937
02032|0|7|271
02035|0|41|1982
02038|0|62|3041
02043|0|4|1333
02045|0|0|556
02047|0|0|0
02048|0|29|2119
02050|0|7|770
02052|0|19|912
02053|0|17|866
02054|0|22|973
02056|0|7|881
02061|0|38|560
02062|0|14|6103
02066|0|13|1193
02067|71|202|3968
02071|0|0|72
02072|0|121|6902
02081|10|18|1946
02090|55|11|2277
02093|0|0|517
02108|71|11|649
02109|0|10|546
02110|23|0|490
02111|13|20|3604
02113|0|62|823
02114|74|37|2962
02115|16|209|7625
02116|77|193|4964
02118|0|175|7807
02119|10|0|7580
02120|0|179|3268
02121|0|0|10302
02122|4|4|7888
02124|0|3|17804
02125|18|23|10731
02126|0|0|8708
02127|13|146|4514
02128|53|72|21026
02129|8|8|3282
02130|104|153|8863
02131|0|8|8907
02132|44|133|5349
02133|0|0|0
02134|186|224|6301
02135|76|272|12931
02136|12|8|12419
02138|234|548|10300
02139|129|504|11451
02140|84|213|6231
02141|145|157|4645
02142|5|272|1699
02143|31|180|5892
02144|30|159|3845
02145|0|205|9249
02148|20|126|27685
02149|0|22|20994
02150|13|24|18893
02151|22|0|24904
02152|0|8|3357
02155|252|239|13997
02163|0|53|828
02169|31|80|18718
02170|12|48|7184
02171|0|40|7323
02176|37|53|4012
02180|20|79|3128
02184|20|96|7453
02186|29|30|4524
02188|0|48|2245
02189|0|9|1937
02190|0|0|2883
02191|0|0|842
02199|0|9|415
02203|0|0|0
02205|0|0|0
02210|127|0|1082
02215|114|240|6537
02301|0|17|23284
02302|0|10|9879
02322|0|0|485
02324|0|10|1550
02325|0|0|91
02330|0|0|518
02332|0|12|515
02333|0|73|680
02338|0|0|140
02339|0|0|326
02341|0|0|696
02343|0|0|1425
02346|0|66|951
02347|0|37|517
02350|0|0|0
02351|0|22|1803
02356|12|22|809
02357|0|0|65
02359|9|51|685
02360|0|51|3231
02364|0|0|534
02366|0|0|13
02367|0|0|74
02368|22|37|12807
02370|0|62|1550
02375|23|30|1230
02379|0|0|346
02382|0|12|628
02420|23|220|4754
02421|48|296|6096
02445|27|155|5194
02446|383|540|11143
02451|260|42|4221
02452|36|11|4137
02453|49|139|7713
02457|0|11|344
02458|64|27|3484
02459|35|57|4045
02460|31|26|1551
02461|29|119|1983
02462|0|48|295
02464|0|209|1159
02465|10|76|2198
02466|5|243|2097
02467|121|378|5373
02468|15|5|1036
02472|192|333|8705
02474|86|317|5868
02476|61|84|2965
02478|218|497|7096
02481|58|105|2417
02482|22|25|2383
02492|0|92|2577
02493|46|126|2603
02494|0|54|2264
02532|0|0|918
02534|0|0|19
02535|0|0|198
02536|16|0|1379
02537|0|0|426
02538|0|0|47
02539|0|0|875
02540|8|3|886
02542|0|0|87
02543|0|0|98
02553|0|0|0
02554|0|175|2013
02556|0|0|97
02557|0|0|59
02558|0|0|10
02559|0|0|95
02561|0|0|141
02562|0|0|204
02563|0|0|495
02564|0|0|1
02568|0|0|1237
02571|0|5|397
02575|0|51|284
02576|0|0|67
02584|0|0|0
02601|0|0|5304
02630|0|0|300
02631|0|0|500
02632|0|0|1667
02633|0|0|317
02635|0|0|193
02637|0|0|82
02638|0|16|154
02639|0|0|350
02641|0|0|0
02642|0|0|426
02643|0|0|0
02644|0|0|103
02645|0|0|450
02646|0|0|50
02647|0|0|0
02648|0|0|242
02649|0|11|1024
02650|0|0|11
02652|0|0|0
02653|0|0|312
02655|8|0|510
02657|0|0|416
02659|0|0|48
02660|0|0|262
02663|0|0|0
02664|0|0|1147
02666|0|0|65
02667|0|0|173
02668|0|0|76
02670|0|0|49
02671|0|0|54
02672|0|0|0
02673|0|0|1845
02675|0|0|240
02702|0|0|182
02703|0|37|4544
02713|0|0|0
02715|0|0|262
02717|0|85|364
02718|0|0|695
02719|0|8|973
02720|45|10|5398
02721|0|0|6535
02723|0|0|4313
02724|0|0|4690
02725|0|0|137
02726|0|0|968
02738|0|6|214
02739|0|0|227
02740|22|12|7597
02743|0|0|1052
02744|0|0|2947
02745|0|26|4276
02746|0|0|5175
02747|57|0|2529
02748|0|0|1317
02760|0|96|2946
02762|10|0|887
02763|0|0|0
02764|0|0|152
02766|0|0|970
02767|0|3|1445
02769|0|39|800
02770|0|0|249
02771|0|20|1139
02777|0|18|1738
02779|0|0|289
02780|0|4|7097
02790|0|0|1524
02791|0|0|0
02802|0|0|0
02804|0|0|0
02806|0|38|1380
02807|0|0|48
02808|0|0|18
02809|14|51|2481
02812|0|0|22
02813|0|0|220
02814|0|0|162
02815|0|0|12
02816|0|0|1049
02817|0|22|616
02818|0|53|2102
02822|0|0|137
02823|0|0|0
02824|0|0|0
02825|0|0|204
02826|0|0|0
02827|0|0|113
02828|15|0|275
02829|0|0|0
02830|0|0|356
02831|0|0|97
02832|0|0|165
02833|0|0|59
02835|0|0|213
02836|0|0|0
02837|0|0|36
02838|0|78|159
02839|0|0|43
02840|0|6|1584
02841|0|0|149
02842|0|10|1736
02852|0|49|1158
02857|0|0|225
02858|0|0|0
02859|0|0|311
02860|9|55|14008
02861|0|0|4458
02863|0|0|8484
02864|0|0|3773
02865|0|11|2319
02871|0|0|833
02872|0|0|0
02873|0|0|0
02874|0|0|134
02875|0|0|0
02876|0|0|30
02878|0|0|915
02879|0|56|980
02881|0|144|740
02882|10|0|680
02885|0|0|1176
02886|0|47|2567
02888|0|16|1002
02889|14|10|1546
02891|7|4|1481
02892|0|0|123
02893|0|0|2639
02894|0|0|0
02895|0|10|5551
02896|0|0|542
02898|0|0|102
02903|0|46|2267
02904|0|0|6229
02905|0|55|7854
02906|71|199|4680
02907|0|0|14594
02908|0|60|11869
02909|0|29|13636
02910|0|0|4179
02911|0|27|1971
02912|0|53|483
02914|0|0|5672
02915|17|0|1088
02916|48|0|998
02917|6|13|851
02918|0|6|173
02919|0|0|2791
02920|0|36|5493
02921|0|16|1539
03031|0|0|621
03032|0|0|43
03033|0|0|192
03034|0|0|75
03036|0|0|155
03037|0|0|122
03038|0|4|1669
03042|0|0|64
03043|8|0|74
03044|0|0|118
03045|6|39|558
03046|0|0|108
03047|0|0|34
03048|0|0|69
03049|23|0|503
03051|14|14|1352
03052|0|0|335
03053|0|4|1112
03054|0|191|1711
03055|0|0|1381
03057|0|0|118
03060|0|3|5541
03062|56|94|5046
03063|14|26|2211
03064|0|8|1473
03070|0|11|45
03071|0|40|224
03076|0|0|554
03077|0|0|271
03079|0|71|2697
03082|0|0|54
03084|0|0|62
03086|0|8|90
03087|0|97|1185
03101|0|0|746
03102|29|42|4769
03103|0|46|7195
03104|5|108|3689
03106|0|34|913
03109|0|0|654
03110|0|65|1904
03215|0|0|18
03216|0|0|94
03217|0|0|81
03218|0|0|11
03220|0|0|158
03221|0|34|65
03222|0|0|142
03223|0|0|56
03224|0|0|90
03225|0|0|124
03226|0|0|33
03227|62|0|73
03229|0|0|101
03230|0|0|13
03231|0|0|0
03233|0|0|0
03234|0|0|155
03235|0|0|522
03237|0|0|42
03238|0|0|0
03240|0|4|42
03241|0|0|14
03242|0|9|68
03243|0|0|21
03244|0|0|214
03245|0|34|97
03246|0|1|394
03249|0|4|309
03251|0|0|205
03253|0|22|317
03254|0|0|84
03255|0|0|40
03256|0|0|45
03257|0|5|186
03258|0|0|105
03259|0|0|7
03260|0|0|23
03261|0|0|134
03262|0|0|138
03263|0|0|51
03264|0|0|211
03266|0|1|55
03268|0|0|18
03269|0|7|120
03273|0|0|71
03275|0|13|321
03276|0|0|285
03278|0|0|116
03279|0|0|1
03280|0|0|65
03281|0|0|107
03282|0|0|29
03284|0|0|16
03285|0|0|147
03287|0|13|83
03290|53|0|169
03291|0|0|0
03293|0|0|0
03301|0|61|3130
03303|0|71|632
03304|0|31|382
03307|0|0|108
03431|0|0|806
03440|0|0|30
03441|0|0|0
03442|0|0|32
03443|0|0|44
03444|0|0|34
03445|0|0|23
03446|0|0|290
03447|0|0|39
03448|0|0|6
03449|0|0|105
03450|0|0|46
03451|0|0|24
03452|18|0|121
03455|0|0|37
03456|0|2|17
03457|0|0|9
03458|0|0|257
03461|0|0|77
03462|0|0|76
03464|0|4|11
03465|0|0|31
03466|0|0|92
03467|0|4|62
03470|0|9|67
03561|0|0|49
03570|0|0|241
03574|0|0|85
03575|0|0|0
03576|0|1|139
03579|0|0|3
03580|3|3|40
03581|0|1|45
03582|0|0|39
03583|0|0|17
03584|0|0|56
03585|0|0|60
03586|0|3|9
03588|0|0|24
03590|0|0|18
03592|0|0|32
03593|0|0|15
03595|0|0|13
03597|0|0|20
03598|0|0|90
03601|0|0|23
03602|0|0|46
03603|0|0|149
03604|0|0|0
03605|0|0|6
03607|0|0|13
03608|0|0|158
03609|0|0|21
03740|0|0|13
03741|13|0|78
03743|0|0|502
03745|0|0|36
03748|0|0|180
03750|0|0|53
03751|0|0|7
03752|0|0|17
03753|0|0|45
03755|0|109|1642
03765|0|0|46
03766|33|21|706
03768|0|8|70
03770|0|0|43
03771|0|0|4
03773|0|0|101
03774|0|0|43
03777|0|0|221
03779|0|0|28
03780|0|42|50
03781|0|11|89
03782|0|19|114
03784|0|57|443
03785|0|0|58
03801|0|149|2033
03809|14|0|81
03810|0|0|7
03811|0|0|183
03812|0|0|4
03813|0|0|44
03814|0|0|74
03816|0|0|7
03817|0|0|23
03818|0|0|107
03819|0|12|29
03820|0|0|1907
03823|0|6|138
03824|18|30|883
03825|0|0|102
03826|0|0|56
03827|0|7|90
03830|0|0|0
03832|0|0|10
03833|0|118|1210
03835|0|0|242
03836|0|0|25
03837|0|0|92
03838|0|0|0
03839|0|27|111
03840|0|1|205
03841|0|0|187
03842|0|28|540
03844|0|0|275
03845|0|0|0
03846|0|0|31
03847|0|0|119
03848|0|0|141
03849|0|8|50
03850|0|0|16
03851|0|0|75
03852|0|0|0
03853|0|0|9
03854|3|0|8
03855|0|0|6
03856|0|5|40
03857|0|13|304
03858|0|0|148
03860|0|0|26
03861|0|63|373
03862|0|0|213
03864|0|0|176
03865|0|0|358
03867|0|0|784
03868|0|0|281
03869|0|0|20
03870|0|0|206
03871|0|0|13
03872|0|0|30
03873|0|18|272
03874|0|10|378
03875|0|0|23
03878|0|0|721
03882|0|0|35
03883|0|13|13
03884|0|0|66
03885|0|0|606
03886|0|0|14
03887|0|0|29
03890|0|0|0
03894|0|0|223
03897|0|0|12
03901|0|0|123
03902|0|0|62
03903|0|26|271
03904|0|27|409
03905|0|0|13
03906|0|9|25
03907|0|0|75
03908|0|0|224
03909|0|0|268
03910|0|0|0
03911|0|0|18
04001|0|0|21
04002|0|0|117
04003|0|0|0
04005|0|38|852
04006|0|0|0
04008|0|0|95
04009|0|0|285
04010|0|0|13
04011|0|61|1028
04015|0|0|22
04017|0|0|10
04019|0|0|0
04020|0|0|5
04021|0|85|270
04022|0|0|47
04024|0|0|12
04027|0|0|25
04029|0|0|21
04030|0|0|80
04032|0|7|356
04037|0|0|109
04038|0|53|865
04039|0|8|114
04040|0|0|95
04041|0|0|15
04042|0|0|83
04043|0|0|984
04046|0|0|312
04047|0|0|21
04048|0|0|49
04049|0|0|86
04050|0|1|6
04051|0|0|47
04055|0|0|31
04056|0|0|15
04057|0|0|4
04061|0|0|15
04062|0|0|356
04063|0|0|12
04064|0|0|547
04066|0|0|13
04068|0|0|44
04069|0|0|17
04071|0|0|95
04072|0|0|1301
04073|0|0|548
04074|0|34|949
04076|0|0|51
04079|0|0|184
04083|0|0|233
04084|0|8|102
04085|0|0|62
04086|0|0|385
04087|0|0|53
04088|0|0|14
04090|0|0|657
04091|0|0|2
04092|21|14|1471
04093|0|0|154
04095|0|0|4
04096|0|8|378
04097|0|0|33
04101|88|17|2682
04102|0|69|1458
04103|11|27|3422
04105|0|16|892
04106|0|29|2318
04107|0|12|473
04108|0|0|42
04109|0|0|0
04110|0|0|81
04210|0|30|648
04216|0|0|26
04217|0|0|10
04219|0|0|7
04220|0|0|16
04221|0|0|22
04222|0|65|76
04224|0|0|19
04226|0|0|2
04227|0|0|0
04231|0|0|6
04234|0|0|0
04236|0|0|88
04237|0|0|0
04238|0|0|19
04239|0|0|51
04240|0|0|2689
04250|0|0|46
04252|0|0|117
04253|0|0|8
04254|0|0|23
04255|0|0|2
04256|0|0|40
04257|0|0|58
04258|0|0|17
04259|0|0|17
04260|0|0|135
04261|0|0|11
04263|0|0|49
04265|0|0|0
04267|0|0|0
04268|0|0|116
04270|0|0|49
04271|0|0|0
04274|0|0|5
04275|0|0|4
04276|0|0|36
04280|0|0|112
04281|0|0|93
04282|0|0|87
04284|0|0|21
04285|0|0|6
04286|0|0|0
04287|0|0|68
04289|0|0|21
04290|0|0|13
04292|0|0|6
04294|0|0|78
04330|0|0|570
04341|0|0|0
04342|0|0|16
04344|0|0|39
04345|0|0|250
04346|0|0|38
04347|0|0|83
04348|0|0|90
04349|0|0|30
04350|0|0|58
04351|0|0|76
04352|0|0|9
04353|0|0|30
04354|0|0|43
04355|0|0|81
04357|0|0|50
04358|0|23|30
04359|0|0|0
04360|0|0|15
04363|0|0|11
04364|0|0|209
04401|18|66|1979
04406|0|0|4
04408|0|1|1
04410|0|0|0
04411|0|6|26
04412|0|0|222
04413|0|0|0
04414|0|0|26
04415|0|0|3
04416|0|46|90
04417|0|0|1
04418|0|0|45
04419|0|0|13
04421|0|0|52
04422|0|0|19
04424|0|5|17
04426|0|5|258
04427|0|0|50
04428|0|0|81
04429|0|0|56
04430|0|0|15
04431|0|0|0
04434|0|0|0
04435|0|0|20
04438|0|0|11
04441|0|0|0
04442|0|0|0
04443|11|0|41
04444|0|0|221
04448|0|0|15
04449|0|3|11
04450|0|0|20
04451|0|0|2
04453|0|0|7
04454|0|0|4
04455|0|0|2
04456|0|0|76
04457|0|0|21
04459|0|0|10
04460|0|0|9
04461|0|54|145
04462|0|0|84
04463|0|0|42
04464|0|0|13
04468|0|0|205
04469|0|0|81
04471|0|0|23
04472|0|0|9
04473|146|6|584
04474|0|0|77
04475|0|0|7
04476|0|2|32
04478|0|0|0
04479|0|0|7
04481|0|0|34
04485|0|0|0
04487|0|0|6
04488|0|0|12
04489|0|0|0
04490|0|0|10
04491|0|0|18
04492|0|0|4
04493|0|8|25
04495|0|0|5
04496|0|7|21
04497|0|0|0
04530|0|0|493
04535|0|0|18
04537|0|0|9
04538|0|0|66
04539|0|0|66
04541|0|0|0
04543|0|0|62
04544|0|0|9
04547|0|0|6
04548|0|0|12
04551|0|0|14
04553|0|0|43
04554|0|0|39
04555|0|0|36
04556|0|0|42
04558|0|0|7
04562|0|0|23
04563|0|0|18
04564|0|0|7
04568|0|0|2
04570|0|0|0
04571|0|0|0
04572|0|0|20
04573|0|0|21
04574|0|0|29
04575|0|0|23
04576|0|0|4
04578|0|2|141
04579|0|0|70
04605|0|18|369
04606|0|0|23
04607|0|0|31
04609|8|0|330
04611|0|0|14
04612|0|0|48
04613|0|0|0
04614|0|0|33
04616|0|0|48
04617|0|0|7
04619|0|0|218
04622|0|0|23
04623|0|0|18
04624|0|0|37
04625|0|0|0
04626|0|0|3
04627|0|0|38
04628|0|0|8
04630|0|1|50
04631|1|0|23
04634|0|0|33
04635|0|0|0
04640|0|0|25
04642|0|0|3
04643|0|0|11
04645|0|0|0
04646|0|0|1
04648|0|0|16
04649|0|0|24
04650|0|0|24
04652|0|0|67
04653|0|0|19
04654|0|0|46
04655|0|2|23
04657|0|0|25
04658|0|0|35
04660|0|0|54
04662|0|0|0
04664|0|0|31
04666|0|0|55
04667|0|0|60
04668|0|1|80
04669|0|0|0
04671|0|0|20
04673|0|0|4
04674|0|0|0
04675|0|0|0
04676|0|4|130
04677|0|0|5
04679|0|0|27
04680|0|2|35
04681|0|0|9
04683|0|0|0
04684|0|0|11
04685|0|4|37
04686|0|0|17
04691|0|0|20
04693|0|0|10
04694|0|0|91
04730|0|0|159
04732|0|0|69
04733|0|0|0
04734|0|0|3
04735|0|0|24
04736|0|0|274
04737|0|0|0
04739|0|0|29
04740|0|0|57
04742|0|0|112
04743|0|2|365
04745|0|0|90
04746|0|0|19
04747|0|0|13
04750|0|7|112
04756|0|0|432
04757|0|0|46
04758|0|0|39
04760|0|0|16
04761|0|0|10
04762|0|0|2
04763|0|0|28
04764|0|0|0
04765|0|0|8
04766|0|0|3
04768|0|0|1
04769|0|5|336
04772|0|0|35
04773|0|0|17
04774|0|0|1
04776|0|0|23
04777|0|0|2
04779|0|0|32
04780|0|0|44
04781|0|0|17
04783|0|0|22
04785|0|20|248
04786|0|0|54
04787|0|0|6
04841|0|0|114
04843|0|0|314
04847|0|2|6
04848|0|0|20
04849|0|0|121
04851|0|0|3
04852|0|0|0
04853|0|0|12
